Standort,Bestand,Plot,Baumart,BHD,Hoehe
La Fusta,2,14,np,45,12
La Fusta,2,15,aa,58,18
La Fusta,2,16,s/a,,
La Fusta,2,17,np,50,9
La Fusta,2,17,np,68,
La Fusta,2,18,s/a,,
La Fusta,2,19,aa,81,30
La Fusta,2,19,np,47,16
La Fusta,2,19,np,72,27
La Fusta,2,20,np,99,20
La Fusta,2,20,np,61,
La Fusta,2,20,np,13,
La Fusta,2,20,np,14,
La Fusta,2,20,np,19,
La Fusta,2,20,np,27,
La Fusta,2,20,np,26,
La Fusta,2,20,np,22,
La Fusta,2,20,np,25,
La Fusta,2,20,np,21,
La Fusta,2,20,np,21,10.2
La Fusta,2,21,np,65,14
La Fusta,2,22,aa,166,36
La Fusta,2,23,aa,52,13
La Fusta,2,23,aa,207,44
La Fusta,2,23,aa,166,36
La Fusta,2,24,np,31,7
La Fusta,2,24,np,32,
La Fusta,2,25,aa,207,44
La Fusta,2,26,np,69,17
La Fusta,2,27,aa,73,21
La Fusta,2,27,aa,166,36
La Fusta,2,27,aa,207,34
La Fusta,2,27,np,36,17
La Fusta,2,27,np,34,16
La Fusta,2,27,np,21,
La Fusta,2,27,np,25,
La Fusta,2,27,np,18,
La Fusta,2,27,np,19,13
La Fusta,2,28,aa,166,36
La Fusta,2,28,np,16,
La Fusta,2,28,np,24,
La Fusta,2,28,np,58,
La Fusta,2,28,np,17,
La Fusta,2,28,np,7,
La Fusta,2,28,np,28,12
La Fusta,2,28,np,7,6.5
La Fusta,2,28,np,14,
La Fusta,2,29,aa,98.7,22
La Fusta,2,29,np,22,
La Fusta,2,29,np,21,
La Fusta,2,29,np,30,
La Fusta,2,29,np,12,
La Fusta,2,29,np,38,15
La Fusta,2,29,np,29,
La Fusta,2,29,np,16,
La Fusta,2,29,np,22,
La Fusta,2,29,np,16,
La Fusta,2,29,np,23,
La Fusta,2,29,np,18,
La Fusta,2,30,np,84,10
La Fusta,2,30,np,15,7
La Fusta,2,31,s/a,,
La Fusta,2,32,s/a,,
La Fusta,2,33,aa,33,28
La Fusta,2,33,np,23,
La Fusta,2,33,np,26,17
La Fusta,2,33,np,9,
La Fusta,2,33,np,32,
La Fusta,2,33,np,22,
La Fusta,2,33,np,81,
La Fusta,2,33,np,62,
La Fusta,2,33,np,21,
La Fusta,2,33,np,12,
La Fusta,2,34,aa,207,34
La Fusta,2,35,aa,89,20
La Fusta,2,35,np,12,7.5
La Fusta,2,35,np,48,
La Fusta,2,35,np,33,
La Fusta,2,35,np,88,
La Fusta,2,35,np,18,
La Fusta,2,35,np,23,
La Fusta,2,35,np,19,
La Fusta,2,35,np,32,
La Fusta,2,36,aa,207,34
La Fusta,2,36,np,50,
La Fusta,2,36,np,55,7
La Fusta,3,1,aa,157,23
La Fusta,3,1,np,8,3
La Fusta,3,2,aa,57,8
La Fusta,3,2,aa,100,
La Fusta,3,2,aa,38,10
La Fusta,3,2,aa,163,24
La Fusta,3,2,np,13,
La Fusta,3,2,np,11,2.5
La Fusta,3,2,np,27,
La Fusta,3,2,np,19,
La Fusta,3,2,np,11,
La Fusta,3,2,np,7,
La Fusta,3,3,aa,23,9
La Fusta,3,3,aa,85,18
La Fusta,3,3,np,48,
La Fusta,3,3,np,47,15
La Fusta,3,3,np,34,
La Fusta,3,3,np,53,
La Fusta,3,4,aa,91,
La Fusta,3,4,aa,95,
La Fusta,3,4,aa,81,
La Fusta,3,4,aa,70,16
La Fusta,3,4,aa,100,23
La Fusta,3,4,np,21,
La Fusta,3,4,np,23,
La Fusta,3,4,np,25,
La Fusta,3,4,np,10,
La Fusta,3,4,np,9,3
La Fusta,3,4,np,14,8
La Fusta,3,5,aa,96,
La Fusta,3,5,aa,74,
La Fusta,3,5,aa,86,20
La Fusta,3,5,np,16,
La Fusta,3,5,np,10,
La Fusta,3,5,np,29,
La Fusta,3,5,np,28,9
La Fusta,3,5,np,25,
La Fusta,3,5,np,17,
La Fusta,3,5,np,64,
La Fusta,3,6,np,100,18
La Fusta,3,6,np,12,
La Fusta,3,6,np,18,
La Fusta,3,6,np,11,6
La Fusta,3,7,np,21,
La Fusta,3,7,np,19,
La Fusta,3,7,np,20,9
La Fusta,3,8,aa,79,18
La Fusta,3,8,np,53,
La Fusta,3,8,np,75,12
La Fusta,3,8,np,72,
La Fusta,3,8,np,15,
La Fusta,3,8,np,11,4.5
La Fusta,3,9,aa,56,12
La Fusta,3,9,np,22,10
La Fusta,3,9,np,21,
La Fusta,3,9,np,72,
La Fusta,3,10,s/a,,quilantal
La Fusta,3,11,aa,113,
La Fusta,3,11,aa,147,
La Fusta,3,11,np,44,
La Fusta,3,12,aa,146,
La Fusta,3,13,np,15,7
La Fusta,3,14,np,12,4
La Fusta,3,14,np,18,
La Fusta,3,14,np,66,16
La Fusta,3,15,np,22,8
La Fusta,3,15,np,24,
La Fusta,3,15,np,21,
La Fusta,3,16,np,34,
La Fusta,3,16,np,60,15
La Fusta,3,16,np,24,8
La Fusta,3,16,np,47,
La Fusta,3,16,np,37,
La Fusta,3,17,aa,54,13
La Fusta,3,17,aa,69,
La Fusta,3,17,np,27,
La Fusta,3,17,np,19,
La Fusta,3,17,np,18,
La Fusta,3,17,np,16,
La Fusta,3,17,np,23,
La Fusta,3,17,np,19,
La Fusta,3,17,np,18,
La Fusta,3,17,np,31,14
La Fusta,3,17,np,27,
La Fusta,3,17,np,80,
La Fusta,3,18,np,14,6
La Fusta,3,19,aa,128,20
La Fusta,3,19,np,15,
La Fusta,3,19,np,22,
La Fusta,3,19,np,7,
La Fusta,3,19,np,12,
La Fusta,3,19,np,84,
La Fusta,3,19,np,89,
La Fusta,3,19,np,18,
La Fusta,3,19,np,25,12
La Fusta,3,19,np,15,
La Fusta,3,20,aa,84,
La Fusta,3,20,aa,57,14
La Fusta,3,20,aa,128,20
La Fusta,3,20,aa,58,
La Fusta,3,20,aa,127,
La Fusta,3,20,np,16,6
La Fusta,3,20,np,17,
La Fusta,3,20,np,53,21
La Fusta,3,20,np,51,
La Fusta,3,21,aa,163,24
La Fusta,3,21,aa,92,
La Fusta,3,21,aa,69,
La Fusta,3,21,aa,75,
La Fusta,3,21,aa,128,20
La Fusta,3,21,np,59,15
La Fusta,3,22,aa,35,18
La Fusta,3,22,aa,69,
La Fusta,3,22,aa,92,
La Fusta,3,22,aa,78,
La Fusta,3,22,aa,30,8
La Fusta,3,22,aa,43,
La Fusta,3,22,aa,163,24
La Fusta,3,23,aa,81,
La Fusta,3,23,aa,70,14
La Fusta,3,23,aa,100,24
La Fusta,3,23,aa,62,17
La Fusta,3,23,aa,90,
La Fusta,3,23,aa,98,
La Fusta,3,23,aa,83,
La Fusta,3,23,aa,76,24
La Fusta,3,23,aa,100,
La Fusta,3,23,aa,164,24
La Fusta,3,24,aa,76,24
La Fusta,3,24,aa,48,
La Fusta,3,24,aa,98,
La Fusta,3,24,aa,98,
La Fusta,3,24,aa,83,
La Fusta,3,24,np,60,19
La Fusta,3,24,np,39,
La Fusta,3,24,np,34,12
La Fusta,3,24,np,53,
La Fusta,3,24,np,38,
La Fusta,3,25,aa,50,
La Fusta,3,25,aa,47,12
La Fusta,3,25,np,59,16
La Fusta,3,25,np,78,
La Fusta,3,25,np,71,
La Fusta,3,26,np,88,20
La Fusta,3,26,np,30,
La Fusta,3,26,np,59,
La Fusta,3,26,np,56,
La Fusta,3,26,np,58,
La Fusta,3,26,np,55,
La Fusta,3,26,np,33,15
La Fusta,3,27,aa,110,23
La Fusta,3,27,aa,84,
La Fusta,3,27,aa,97,
La Fusta,3,27,np,52,16
La Fusta,3,28,aa,84,14
La Fusta,3,28,aa,110,23
La Fusta,3,28,np,46,14
La Fusta,3,28,np,77,17
La Fusta,3,29,aa,110,
La Fusta,3,29,aa,164,25
La Fusta,3,29,aa,36,
La Fusta,3,29,np,28,12
La Fusta,3,29,np,59,
La Fusta,3,30,aa,110,
La Fusta,3,30,aa,164,25
La Fusta,3,30,np,26,10
La Fusta,3,30,np,65,15
La Fusta,3,30,np,17,
La Fusta,3,30,np,14,
La Fusta,3,30,np,19,
La Fusta,3,30,np,13,7
La Fusta,3,30,np,18,
La Fusta,3,31,aa,167,21
La Fusta,3,31,np,51,
La Fusta,3,31,np,17,
La Fusta,3,31,np,65,15
La Fusta,3,31,np,31,13
La Fusta,3,31,np,14,
La Fusta,3,31,np,24,
La Fusta,3,31,np,25,
La Fusta,3,32,aa,167,21
La Fusta,3,32,aa,82,21
La Fusta,3,32,np,44,
La Fusta,3,32,np,85,18
La Fusta,3,32,np,28,9
La Fusta,3,33,np,49,15.5
La Fusta,3,33,np,38,
La Fusta,3,33,np,50,
La Fusta,3,33,np,77,
La Fusta,3,33,np,54,
La Fusta,3,33,np,49,
La Fusta,3,34,np,103,
La Fusta,3,34,np,23,
La Fusta,3,34,np,39,
La Fusta,3,34,np,27,
La Fusta,3,34,np,93,17
La Fusta,3,34,np,53,14
La Fusta,3,34,np,16,6
La Fusta,3,35,aa,110,
La Fusta,3,35,aa,164,25
La Fusta,3,35,aa,71,17
La Fusta,3,35,np,64,14
La Fusta,3,35,np,65,20
La Fusta,3,35,np,51,
La Fusta,3,36,aa,110,
La Fusta,3,36,aa,164,25
La Fusta,3,36,aa,71,17
La Fusta,3,36,aa,110,23
La Fusta,4,1,aa,100,20
La Fusta,4,1,aa,110,
La Fusta,4,1,aa,160,
La Fusta,4,1,np,84,
La Fusta,4,2,np,18,
La Fusta,4,2,np,6,4
La Fusta,4,2,np,11,
La Fusta,4,2,np,20,
La Fusta,4,2,np,12,
La Fusta,4,2,np,52,14
La Fusta,4,2,np,10,
La Fusta,4,3,np,19,
La Fusta,4,3,np,77,
La Fusta,4,3,np,6.5,
La Fusta,4,3,np,76,
La Fusta,4,3,np,22,15
La Fusta,4,4,aa,20,6
La Fusta,4,4,np,71,
La Fusta,4,4,np,70,
La Fusta,4,4,np,58,
La Fusta,4,4,np,78,16
La Fusta,4,4,np,16,
La Fusta,4,4,np,15,
La Fusta,4,4,np,15,10
La Fusta,4,4,np,71,
La Fusta,4,4,np,51,
La Fusta,4,4,np,52,
La Fusta,4,5,np,63,20
La Fusta,4,5,np,36,
La Fusta,4,5,np,30,
La Fusta,4,5,np,84,
La Fusta,4,5,np,84,
La Fusta,4,5,np,16,
La Fusta,4,5,np,104,
La Fusta,4,6,np,11,
La Fusta,4,6,np,54,
La Fusta,4,6,np,29,
La Fusta,4,6,np,10,8
La Fusta,4,6,np,39,
La Fusta,4,6,np,9,
La Fusta,4,6,np,20,
La Fusta,4,6,np,20,
La Fusta,4,6,np,30,
La Fusta,4,6,np,28,
La Fusta,4,6,np,38,
La Fusta,4,6,np,44,
La Fusta,4,6,np,58,18
La Fusta,4,7,np,116,20
La Fusta,4,7,np,68,
La Fusta,4,7,np,15,
La Fusta,4,7,np,11,
La Fusta,4,7,np,28,
La Fusta,4,7,np,20,
La Fusta,4,7,np,47,
La Fusta,4,7,np,19,
La Fusta,4,7,np,12,9
La Fusta,4,7,np,59,
La Fusta,4,7,np,19,
La Fusta,4,7,np,31,
La Fusta,4,7,np,38,
La Fusta,4,8,np,67,19
La Fusta,4,8,np,117,
La Fusta,4,8,np,62,
La Fusta,4,9,aa,95,17
La Fusta,4,9,np,51,
La Fusta,4,9,np,48,
La Fusta,4,9,np,72,
La Fusta,4,9,np,73,15
La Fusta,4,9,np,12,5
La Fusta,4,10,np,60,
La Fusta,4,10,np,8,
La Fusta,4,10,np,6,
La Fusta,4,10,np,13,5
La Fusta,4,11,aa,52,8.5
La Fusta,4,11,np,12,
La Fusta,4,11,np,12,5
La Fusta,4,11,np,13,
La Fusta,4,11,np,8,
La Fusta,4,11,np,22,
La Fusta,4,12,np,10,
La Fusta,4,12,np,11,
La Fusta,4,12,np,7,
La Fusta,4,12,np,5,
La Fusta,4,12,np,11,
La Fusta,4,12,np,16,
La Fusta,4,12,np,4,
La Fusta,4,12,np,3,3
La Fusta,4,12,np,4,
La Fusta,4,12,np,19,
La Fusta,4,12,np,22,6
La Fusta,4,13,np,50,
La Fusta,4,13,np,13,5
La Fusta,4,13,np,21,
La Fusta,4,13,np,13,6
La Fusta,4,13,np,10,
La Fusta,4,13,np,10,
La Fusta,4,13,np,6,
La Fusta,4,13,np,22,
La Fusta,4,14,np,20,
La Fusta,4,14,np,16,
La Fusta,4,14,np,67,15
La Fusta,4,14,np,14,6
La Fusta,4,14,np,20,
La Fusta,4,15,np,9,
La Fusta,4,15,np,11,
La Fusta,4,15,np,20,8
La Fusta,4,15,np,23,
La Fusta,4,15,np,67,
La Fusta,4,16,np,61,18
La Fusta,4,16,np,42,9.5
La Fusta,4,17,np,61,
La Fusta,4,17,np,37,11
La Fusta,4,17,np,65,
La Fusta,4,18,np,28,
La Fusta,4,18,np,45,
La Fusta,4,19,aa,164,
La Fusta,4,19,aa,144,
La Fusta,4,19,aa,72,19
La Fusta,4,19,aa,93,
La Fusta,4,19,aa,115,
La Fusta,4,19,np,84,15
La Fusta,4,19,np,11,5
La Fusta,4,19,np,23,
La Fusta,4,20,aa,164,24
La Fusta,4,20,aa,93,28
La Fusta,4,20,np,13,
La Fusta,4,20,np,79,17
La Fusta,4,20,np,24,
La Fusta,4,20,np,21,
La Fusta,4,20,np,20,
La Fusta,4,20,np,18,
La Fusta,4,20,np,22,
La Fusta,4,20,np,7,5
La Fusta,4,21,aa,91,24
La Fusta,4,21,np,59,
La Fusta,4,21,np,53,17
La Fusta,4,21,np,105,
La Fusta,4,21,np,34,
La Fusta,4,21,np,83,
La Fusta,4,22,np,19,11
La Fusta,4,22,np,19,
La Fusta,4,22,np,23,
La Fusta,4,22,np,34,
La Fusta,4,22,np,50,
La Fusta,4,22,np,64,
La Fusta,4,22,np,58,
La Fusta,4,22,np,55,
La Fusta,4,22,np,67,
La Fusta,4,22,np,62,
La Fusta,4,22,np,57,
La Fusta,4,22,np,53,
La Fusta,4,22,np,25,
La Fusta,4,22,np,33,
La Fusta,4,22,np,22,
La Fusta,4,22,np,60,
La Fusta,4,22,np,27,
La Fusta,4,22,np,30,
La Fusta,4,22,np,31,
La Fusta,4,22,np,75,18
La Fusta,4,22,np,40,
La Fusta,4,22,np,79,
La Fusta,4,23,np,75,18
La Fusta,4,23,np,79,
La Fusta,4,23,np,127,
La Fusta,4,23,np,70,
La Fusta,4,23,np,62,
La Fusta,4,23,np,86,18
La Fusta,4,23,np,73,
La Fusta,4,23,np,60,
La Fusta,4,23,np,64,
La Fusta,4,23,np,7,
La Fusta,4,23,np,15,
La Fusta,4,24,np,50,
La Fusta,4,24,np,71,
La Fusta,4,24,np,100,16
La Fusta,4,24,np,54,
La Fusta,4,24,np,63,
La Fusta,4,24,np,102,
La Fusta,4,24,np,100,
La Fusta,4,24,np,72,
La Fusta,4,24,np,78,
La Fusta,4,24,np,37,
La Fusta,4,24,np,45,
La Fusta,4,24,np,36,
La Fusta,4,25,aa,97,
La Fusta,4,25,np,36,
La Fusta,4,25,np,76,
La Fusta,4,25,np,75,
La Fusta,4,25,np,39,
La Fusta,4,25,np,110,16
La Fusta,4,25,np,36,
La Fusta,4,25,np,49,
La Fusta,4,25,np,7,4
La Fusta,4,26,np,11,
La Fusta,4,26,np,15,
La Fusta,4,26,np,22,
La Fusta,4,26,np,17,
La Fusta,4,26,np,43,20
La Fusta,4,26,np,73,
La Fusta,4,26,np,71,
La Fusta,4,26,np,47,
La Fusta,4,26,np,57,
La Fusta,4,26,np,110,16
La Fusta,4,26,np,54,
La Fusta,4,27,np,72,18
La Fusta,4,27,np,84,
La Fusta,4,27,np,52,
La Fusta,4,27,np,66,
La Fusta,4,27,np,76,
La Fusta,4,27,np,66,
La Fusta,4,27,np,58,
La Fusta,4,27,np,55,
La Fusta,4,27,np,8,3.5
La Fusta,4,28,np,14,
La Fusta,4,28,np,21,
La Fusta,4,28,np,12,
La Fusta,4,28,np,19,
La Fusta,4,28,np,36,
La Fusta,4,28,np,32,
La Fusta,4,28,np,62,
La Fusta,4,28,np,56,
La Fusta,4,28,np,13.5,7
La Fusta,4,28,np,91,
La Fusta,4,28,np,72,18
La Fusta,4,28,np,95,30
La Fusta,4,29,aa,76,
La Fusta,4,29,aa,23,4.5
La Fusta,4,29,aa,105,28
La Fusta,4,29,aa,85,25
La Fusta,4,29,np,8,
La Fusta,4,29,np,10,4
La Fusta,4,29,np,7,
La Fusta,4,30,np,15,
La Fusta,4,30,np,10,
La Fusta,4,30,np,29,
La Fusta,4,30,np,22,
La Fusta,4,30,np,29,
La Fusta,4,30,np,31,
La Fusta,4,30,np,47,
