,Standort,Bestand,Plot,Baumart,BHD,Hoehe,BHDm,BHDmAA,Hm,HmAA,Dq,DqAA,Hq,HqAA,BHDmax,BHDmaxAA,Hmax,HmaxAA,BereichBHDAA,BereichHAA,BereichDHAA,DHmaxAA,BHDdom,BHDdomAA,Hdom,HdomAA,HdAA,GCdAA,VardAA,G,GAA,BALAA,Nlog,NlogAA,SDIAA,MH,BG,LG,RGAA,RNAA,JWBAA,JWAAA,VS,N,NAA,a,b,c,RD
442,La Fusta,3,29,aa,164,25,58.44,94.91,15.20,19.03,71.25,102.10,16.43,19.72,167,167,25,25,144,17,12,21,166.00,166.00,22.33,22.33,1.92,0.41,39.91,23.00,8.56,1.08,2.68,1.35,108.84,1413,-38.67,-71.50,0.37,0.05,7.83,0.45,3,483.19,22.32,23.97,1.94,0.02,1.606317965
447,La Fusta,3,30,aa,164,25,58.44,94.91,15.20,19.03,71.25,102.10,16.43,19.72,167,167,25,25,144,17,12,21,166.00,166.00,22.33,22.33,1.92,0.41,39.91,23.00,8.56,1.08,2.68,1.35,108.84,1413,-38.67,-71.50,0.37,0.05,7.83,0.45,3,483.19,22.32,23.97,1.94,0.02,1.606317965
455,La Fusta,3,31,aa,167,21,58.44,94.91,15.20,19.03,71.25,102.10,16.43,19.72,167,167,25,25,144,17,12,21,166.00,166.00,22.33,22.33,1.92,0.41,39.91,23.00,8.56,1.08,2.68,1.35,108.84,1413,-38.67,-71.50,0.37,0.05,7.83,0.45,3,483.19,22.32,23.97,1.94,0.02,1.63570183
463,La Fusta,3,32,aa,167,21,58.44,94.91,15.20,19.03,71.25,102.10,16.43,19.72,167,167,25,25,144,17,12,21,166.00,166.00,22.33,22.33,1.92,0.41,39.91,23.00,8.56,1.08,2.68,1.35,108.84,1413,-38.67,-71.50,0.37,0.05,7.83,0.45,3,483.19,22.32,23.97,1.94,0.02,1.63570183
464,La Fusta,3,32,aa,82,21,58.44,94.91,15.20,19.03,71.25,102.10,16.43,19.72,167,167,25,25,144,17,12,21,166.00,166.00,22.33,22.33,1.92,0.41,39.91,23.00,8.56,1.08,2.68,1.35,108.84,1413,-38.67,-71.50,0.37,0.05,7.83,0.45,3,483.19,22.32,23.97,1.94,0.02,0.803158982
482,La Fusta,3,35,aa,164,25,58.44,94.91,15.20,19.03,71.25,102.10,16.43,19.72,167,167,25,25,144,17,12,21,166.00,166.00,22.33,22.33,1.92,0.41,39.91,23.00,8.56,1.08,2.68,1.35,108.84,1413,-38.67,-71.50,0.37,0.05,7.83,0.45,3,483.19,22.32,23.97,1.94,0.02,1.606317965
483,La Fusta,3,35,aa,71,17,58.44,94.91,15.20,19.03,71.25,102.10,16.43,19.72,167,167,25,25,144,17,12,21,166.00,166.00,22.33,22.33,1.92,0.41,39.91,23.00,8.56,1.08,2.68,1.35,108.84,1413,-38.67,-71.50,0.37,0.05,7.83,0.45,3,483.19,22.32,23.97,1.94,0.02,0.695418143
488,La Fusta,3,36,aa,164,25,58.44,94.91,15.20,19.03,71.25,102.10,16.43,19.72,167,167,25,25,144,17,12,21,166.00,166.00,22.33,22.33,1.92,0.41,39.91,23.00,8.56,1.08,2.68,1.35,108.84,1413,-38.67,-71.50,0.37,0.05,7.83,0.45,3,483.19,22.32,23.97,1.94,0.02,1.606317965
489,La Fusta,3,36,aa,71,17,58.44,94.91,15.20,19.03,71.25,102.10,16.43,19.72,167,167,25,25,144,17,12,21,166.00,166.00,22.33,22.33,1.92,0.41,39.91,23.00,8.56,1.08,2.68,1.35,108.84,1413,-38.67,-71.50,0.37,0.05,7.83,0.45,3,483.19,22.32,23.97,1.94,0.02,0.695418143
490,La Fusta,3,36,aa,110,23,58.44,94.91,15.20,19.03,71.25,102.10,16.43,19.72,167,167,25,25,144,17,12,21,166.00,166.00,22.33,22.33,1.92,0.41,39.91,23.00,8.56,1.08,2.68,1.35,108.84,1413,-38.67,-71.50,0.37,0.05,7.83,0.45,3,483.19,22.32,23.97,1.94,0.02,1.077408391
491,La Fusta,4,1,aa,100,20,48.53,99.16,14.39,20.35,61.17,106.78,16.49,22.12,193,180,37,37,160,32.5,31,37,181.00,171.33,29.67,29.33,1.95,0.40,40.49,35.33,4.11,1.10,3.25,1.12,56.10,1542,-38.65,-71.45,0.12,0.01,5.56,0.88,0,1789.57,13.28,31.20,3.89,0.03,0.936522535
507,La Fusta,4,4,aa,20,6,48.53,99.16,14.39,20.35,61.17,106.78,16.49,22.12,193,180,37,37,160,32.5,31,37,181.00,171.33,29.67,29.33,1.95,0.40,40.49,35.33,4.11,1.10,3.25,1.12,56.10,1542,-38.65,-71.45,0.12,0.01,5.56,0.88,0,1789.57,13.28,31.20,3.89,0.03,0.187304507
554,La Fusta,4,9,aa,95,17,48.53,99.16,14.39,20.35,61.17,106.78,16.49,22.12,193,180,37,37,160,32.5,31,37,181.00,171.33,29.67,29.33,1.95,0.40,40.49,35.33,4.11,1.10,3.25,1.12,56.10,1542,-38.65,-71.45,0.12,0.01,5.56,0.88,0,1789.57,13.28,31.20,3.89,0.03,0.889696408
564,La Fusta,4,11,aa,52,8.5,48.53,99.16,14.39,20.35,61.17,106.78,16.49,22.12,193,180,37,37,160,32.5,31,37,181.00,171.33,29.67,29.33,1.95,0.40,40.49,35.33,4.11,1.10,3.25,1.12,56.10,1542,-38.65,-71.45,0.12,0.01,5.56,0.88,0,1789.57,13.28,31.20,3.89,0.03,0.486991718
608,La Fusta,4,19,aa,72,19,48.53,99.16,14.39,20.35,61.17,106.78,16.49,22.12,193,180,37,37,160,32.5,31,37,181.00,171.33,29.67,29.33,1.95,0.40,40.49,35.33,4.11,1.10,3.25,1.12,56.10,1542,-38.65,-71.45,0.12,0.01,5.56,0.88,0,1789.57,13.28,31.20,3.89,0.03,0.674296225
614,La Fusta,4,20,aa,164,24,48.53,99.16,14.39,20.35,61.17,106.78,16.49,22.12,193,180,37,37,160,32.5,31,37,181.00,171.33,29.67,29.33,1.95,0.40,40.49,35.33,4.11,1.10,3.25,1.12,56.10,1542,-38.65,-71.45,0.12,0.01,5.56,0.88,0,1789.57,13.28,31.20,3.89,0.03,1.535896958
615,La Fusta,4,20,aa,93,28,48.53,99.16,14.39,20.35,61.17,106.78,16.49,22.12,193,180,37,37,160,32.5,31,37,181.00,171.33,29.67,29.33,1.95,0.40,40.49,35.33,4.11,1.10,3.25,1.12,56.10,1542,-38.65,-71.45,0.12,0.01,5.56,0.88,0,1789.57,13.28,31.20,3.89,0.03,0.870965958
624,La Fusta,4,21,aa,91,24,48.53,99.16,14.39,20.35,61.17,106.78,16.49,22.12,193,180,37,37,160,32.5,31,37,181.00,171.33,29.67,29.33,1.95,0.40,40.49,35.33,4.11,1.10,3.25,1.12,56.10,1542,-38.65,-71.45,0.12,0.01,5.56,0.88,0,1789.57,13.28,31.20,3.89,0.03,0.852235507
717,La Fusta,4,29,aa,23,4.5,48.53,99.16,14.39,20.35,61.17,106.78,16.49,22.12,193,180,37,37,160,32.5,31,37,181.00,171.33,29.67,29.33,1.95,0.40,40.49,35.33,4.11,1.10,3.25,1.12,56.10,1542,-38.65,-71.45,0.12,0.01,5.56,0.88,0,1789.57,13.28,31.20,3.89,0.03,0.215400183
718,La Fusta,4,29,aa,105,28,48.53,99.16,14.39,20.35,61.17,106.78,16.49,22.12,193,180,37,37,160,32.5,31,37,181.00,171.33,29.67,29.33,1.95,0.40,40.49,35.33,4.11,1.10,3.25,1.12,56.10,1542,-38.65,-71.45,0.12,0.01,5.56,0.88,0,1789.57,13.28,31.20,3.89,0.03,0.983348662
719,La Fusta,4,29,aa,85,25,48.53,99.16,14.39,20.35,61.17,106.78,16.49,22.12,193,180,37,37,160,32.5,31,37,181.00,171.33,29.67,29.33,1.95,0.40,40.49,35.33,4.11,1.10,3.25,1.12,56.10,1542,-38.65,-71.45,0.12,0.01,5.56,0.88,0,1789.57,13.28,31.20,3.89,0.03,0.796044155
733,La Fusta,4,31,aa,110,24,48.53,99.16,14.39,20.35,61.17,106.78,16.49,22.12,193,180,37,37,160,32.5,31,37,181.00,171.33,29.67,29.33,1.95,0.40,40.49,35.33,4.11,1.10,3.25,1.12,56.10,1542,-38.65,-71.45,0.12,0.01,5.56,0.88,0,1789.57,13.28,31.20,3.89,0.03,1.030174789
735,La Fusta,4,31,aa,137,27,48.53,99.16,14.39,20.35,61.17,106.78,16.49,22.12,193,180,37,37,160,32.5,31,37,181.00,171.33,29.67,29.33,1.95,0.40,40.49,35.33,4.11,1.10,3.25,1.12,56.10,1542,-38.65,-71.45,0.12,0.01,5.56,0.88,0,1789.57,13.28,31.20,3.89,0.03,1.283035873
740,La Fusta,4,32,aa,46,9,48.53,99.16,14.39,20.35,61.17,106.78,16.49,22.12,193,180,37,37,160,32.5,31,37,181.00,171.33,29.67,29.33,1.95,0.40,40.49,35.33,4.11,1.10,3.25,1.12,56.10,1542,-38.65,-71.45,0.12,0.01,5.56,0.88,0,1789.57,13.28,31.20,3.89,0.03,0.430800366
757,La Fusta,4,33,aa,89,26,48.53,99.16,14.39,20.35,61.17,106.78,16.49,22.12,193,180,37,37,160,32.5,31,37,181.00,171.33,29.67,29.33,1.95,0.40,40.49,35.33,4.11,1.10,3.25,1.12,56.10,1542,-38.65,-71.45,0.12,0.01,5.56,0.88,0,1789.57,13.28,31.20,3.89,0.03,0.833505056
779,La Fusta,4,35,aa,86,19,48.53,99.16,14.39,20.35,61.17,106.78,16.49,22.12,193,180,37,37,160,32.5,31,37,181.00,171.33,29.67,29.33,1.95,0.40,40.49,35.33,4.11,1.10,3.25,1.12,56.10,1542,-38.65,-71.45,0.12,0.01,5.56,0.88,0,1789.57,13.28,31.20,3.89,0.03,0.80540938
796,La Fusta,4,36,aa,170,37,48.53,99.16,14.39,20.35,61.17,106.78,16.49,22.12,193,180,37,37,160,32.5,31,37,181.00,171.33,29.67,29.33,1.95,0.40,40.49,35.33,4.11,1.10,3.25,1.12,56.10,1542,-38.65,-71.45,0.12,0.01,5.56,0.88,0,1789.57,13.28,31.20,3.89,0.03,1.59208831
809,Conguillio,5,1,aa,71,19,73.65,60.87,18.27,15.50,81.60,65.59,19.27,16.30,217,130,35,24,122,20,20,24,199.67,121.00,32.00,23.33,1.58,0.38,40.31,54.31,16.46,0.47,2.58,2.22,237.89,1304,-38.63,-71.67,0.30,0.43,5.56,0.32,0,382.63,165.50,19.84,2.35,0.04,1.082564573
810,Conguillio,5,1,aa,62,18,73.65,60.87,18.27,15.50,81.60,65.59,19.27,16.30,217,130,35,24,122,20,20,24,199.67,121.00,32.00,23.33,1.58,0.38,40.31,54.31,16.46,0.47,2.58,2.22,237.89,1304,-38.63,-71.67,0.30,0.43,5.56,0.32,0,382.63,165.50,19.84,2.35,0.04,0.945338078
819,Conguillio,5,2,aa,18,9,73.65,60.87,18.27,15.50,81.60,65.59,19.27,16.30,217,130,35,24,122,20,20,24,199.67,121.00,32.00,23.33,1.58,0.38,40.31,54.31,16.46,0.47,2.58,2.22,237.89,1304,-38.63,-71.67,0.30,0.43,5.56,0.32,0,382.63,165.50,19.84,2.35,0.04,0.27445299
827,Conguillio,5,3,aa,32,9,73.65,60.87,18.27,15.50,81.60,65.59,19.27,16.30,217,130,35,24,122,20,20,24,199.67,121.00,32.00,23.33,1.58,0.38,40.31,54.31,16.46,0.47,2.58,2.22,237.89,1304,-38.63,-71.67,0.30,0.43,5.56,0.32,0,382.63,165.50,19.84,2.35,0.04,0.487916427
829,Conguillio,5,3,aa,60,18,73.65,60.87,18.27,15.50,81.60,65.59,19.27,16.30,217,130,35,24,122,20,20,24,199.67,121.00,32.00,23.33,1.58,0.38,40.31,54.31,16.46,0.47,2.58,2.22,237.89,1304,-38.63,-71.67,0.30,0.43,5.56,0.32,0,382.63,165.50,19.84,2.35,0.04,0.914843301
843,Conguillio,5,4,aa,90,17,73.65,60.87,18.27,15.50,81.60,65.59,19.27,16.30,217,130,35,24,122,20,20,24,199.67,121.00,32.00,23.33,1.58,0.38,40.31,54.31,16.46,0.47,2.58,2.22,237.89,1304,-38.63,-71.67,0.30,0.43,5.56,0.32,0,382.63,165.50,19.84,2.35,0.04,1.372264952
860,Conguillio,5,5,aa,34,10,73.65,60.87,18.27,15.50,81.60,65.59,19.27,16.30,217,130,35,24,122,20,20,24,199.67,121.00,32.00,23.33,1.58,0.38,40.31,54.31,16.46,0.47,2.58,2.22,237.89,1304,-38.63,-71.67,0.30,0.43,5.56,0.32,0,382.63,165.50,19.84,2.35,0.04,0.518411204
861,Conguillio,5,5,aa,78,19,73.65,60.87,18.27,15.50,81.60,65.59,19.27,16.30,217,130,35,24,122,20,20,24,199.67,121.00,32.00,23.33,1.58,0.38,40.31,54.31,16.46,0.47,2.58,2.22,237.89,1304,-38.63,-71.67,0.30,0.43,5.56,0.32,0,382.63,165.50,19.84,2.35,0.04,1.189296292
864,Conguillio,5,5,aa,40,7,73.65,60.87,18.27,15.50,81.60,65.59,19.27,16.30,217,130,35,24,122,20,20,24,199.67,121.00,32.00,23.33,1.58,0.38,40.31,54.31,16.46,0.47,2.58,2.22,237.89,1304,-38.63,-71.67,0.30,0.43,5.56,0.32,0,382.63,165.50,19.84,2.35,0.04,0.609895534
882,Conguillio,5,6,aa,80,19,73.65,60.87,18.27,15.50,81.60,65.59,19.27,16.30,217,130,35,24,122,20,20,24,199.67,121.00,32.00,23.33,1.58,0.38,40.31,54.31,16.46,0.47,2.58,2.22,237.89,1304,-38.63,-71.67,0.30,0.43,5.56,0.32,0,382.63,165.50,19.84,2.35,0.04,1.219791068
883,Conguillio,5,6,aa,12,4,73.65,60.87,18.27,15.50,81.60,65.59,19.27,16.30,217,130,35,24,122,20,20,24,199.67,121.00,32.00,23.33,1.58,0.38,40.31,54.31,16.46,0.47,2.58,2.22,237.89,1304,-38.63,-71.67,0.30,0.43,5.56,0.32,0,382.63,165.50,19.84,2.35,0.04,0.18296866
897,Conguillio,5,7,aa,41,12,73.65,60.87,18.27,15.50,81.60,65.59,19.27,16.30,217,130,35,24,122,20,20,24,199.67,121.00,32.00,23.33,1.58,0.38,40.31,54.31,16.46,0.47,2.58,2.22,237.89,1304,-38.63,-71.67,0.30,0.43,5.56,0.32,0,382.63,165.50,19.84,2.35,0.04,0.625142923
898,Conguillio,5,7,aa,59,14,73.65,60.87,18.27,15.50,81.60,65.59,19.27,16.30,217,130,35,24,122,20,20,24,199.67,121.00,32.00,23.33,1.58,0.38,40.31,54.31,16.46,0.47,2.58,2.22,237.89,1304,-38.63,-71.67,0.30,0.43,5.56,0.32,0,382.63,165.50,19.84,2.35,0.04,0.899595913
911,Conguillio,5,8,aa,49,19,73.65,60.87,18.27,15.50,81.60,65.59,19.27,16.30,217,130,35,24,122,20,20,24,199.67,121.00,32.00,23.33,1.58,0.38,40.31,54.31,16.46,0.47,2.58,2.22,237.89,1304,-38.63,-71.67,0.30,0.43,5.56,0.32,0,382.63,165.50,19.84,2.35,0.04,0.747122029
922,Conguillio,5,9,aa,98,16,73.65,60.87,18.27,15.50,81.60,65.59,19.27,16.30,217,130,35,24,122,20,20,24,199.67,121.00,32.00,23.33,1.58,0.38,40.31,54.31,16.46,0.47,2.58,2.22,237.89,1304,-38.63,-71.67,0.30,0.43,5.56,0.32,0,382.63,165.50,19.84,2.35,0.04,1.494244059
930,Conguillio,5,10,aa,79,23,73.65,60.87,18.27,15.50,81.60,65.59,19.27,16.30,217,130,35,24,122,20,20,24,199.67,121.00,32.00,23.33,1.58,0.38,40.31,54.31,16.46,0.47,2.58,2.22,237.89,1304,-38.63,-71.67,0.30,0.43,5.56,0.32,0,382.63,165.50,19.84,2.35,0.04,1.20454368
936,Conguillio,5,10,aa,74,18,73.65,60.87,18.27,15.50,81.60,65.59,19.27,16.30,217,130,35,24,122,20,20,24,199.67,121.00,32.00,23.33,1.58,0.38,40.31,54.31,16.46,0.47,2.58,2.22,237.89,1304,-38.63,-71.67,0.30,0.43,5.56,0.32,0,382.63,165.50,19.84,2.35,0.04,1.128306738
954,Conguillio,5,11,aa,13,5,73.65,60.87,18.27,15.50,81.60,65.59,19.27,16.30,217,130,35,24,122,20,20,24,199.67,121.00,32.00,23.33,1.58,0.38,40.31,54.31,16.46,0.47,2.58,2.22,237.89,1304,-38.63,-71.67,0.30,0.43,5.56,0.32,0,382.63,165.50,19.84,2.35,0.04,0.198216049
956,Conguillio,5,11,aa,81,19,73.65,60.87,18.27,15.50,81.60,65.59,19.27,16.30,217,130,35,24,122,20,20,24,199.67,121.00,32.00,23.33,1.58,0.38,40.31,54.31,16.46,0.47,2.58,2.22,237.89,1304,-38.63,-71.67,0.30,0.43,5.56,0.32,0,382.63,165.50,19.84,2.35,0.04,1.235038457
965,Conguillio,5,12,aa,71,17,73.65,60.87,18.27,15.50,81.60,65.59,19.27,16.30,217,130,35,24,122,20,20,24,199.67,121.00,32.00,23.33,1.58,0.38,40.31,54.31,16.46,0.47,2.58,2.22,237.89,1304,-38.63,-71.67,0.30,0.43,5.56,0.32,0,382.63,165.50,19.84,2.35,0.04,1.082564573
977,Conguillio,5,13,aa,110,23,73.65,60.87,18.27,15.50,81.60,65.59,19.27,16.30,217,130,35,24,122,20,20,24,199.67,121.00,32.00,23.33,1.58,0.38,40.31,54.31,16.46,0.47,2.58,2.22,237.89,1304,-38.63,-71.67,0.30,0.43,5.56,0.32,0,382.63,165.50,19.84,2.35,0.04,1.677212719
982,Conguillio,5,13,aa,33,14,73.65,60.87,18.27,15.50,81.60,65.59,19.27,16.30,217,130,35,24,122,20,20,24,199.67,121.00,32.00,23.33,1.58,0.38,40.31,54.31,16.46,0.47,2.58,2.22,237.89,1304,-38.63,-71.67,0.30,0.43,5.56,0.32,0,382.63,165.50,19.84,2.35,0.04,0.503163816
996,Conguillio,5,14,aa,67,15,73.65,60.87,18.27,15.50,81.60,65.59,19.27,16.30,217,130,35,24,122,20,20,24,199.67,121.00,32.00,23.33,1.58,0.38,40.31,54.31,16.46,0.47,2.58,2.22,237.89,1304,-38.63,-71.67,0.30,0.43,5.56,0.32,0,382.63,165.50,19.84,2.35,0.04,1.02157502
1006,Conguillio,5,15,aa,103,23,73.65,60.87,18.27,15.50,81.60,65.59,19.27,16.30,217,130,35,24,122,20,20,24,199.67,121.00,32.00,23.33,1.58,0.38,40.31,54.31,16.46,0.47,2.58,2.22,237.89,1304,-38.63,-71.67,0.30,0.43,5.56,0.32,0,382.63,165.50,19.84,2.35,0.04,1.570481001
1009,Conguillio,5,15,aa,33,12,73.65,60.87,18.27,15.50,81.60,65.59,19.27,16.30,217,130,35,24,122,20,20,24,199.67,121.00,32.00,23.33,1.58,0.38,40.31,54.31,16.46,0.47,2.58,2.22,237.89,1304,-38.63,-71.67,0.30,0.43,5.56,0.32,0,382.63,165.50,19.84,2.35,0.04,0.503163816
1025,Conguillio,5,16,aa,63,14,73.65,60.87,18.27,15.50,81.60,65.59,19.27,16.30,217,130,35,24,122,20,20,24,199.67,121.00,32.00,23.33,1.58,0.38,40.31,54.31,16.46,0.47,2.58,2.22,237.89,1304,-38.63,-71.67,0.30,0.43,5.56,0.32,0,382.63,165.50,19.84,2.35,0.04,0.960585466
1032,Conguillio,5,17,aa,80,23,73.65,60.87,18.27,15.50,81.60,65.59,19.27,16.30,217,130,35,24,122,20,20,24,199.67,121.00,32.00,23.33,1.58,0.38,40.31,54.31,16.46,0.47,2.58,2.22,237.89,1304,-38.63,-71.67,0.30,0.43,5.56,0.32,0,382.63,165.50,19.84,2.35,0.04,1.219791068
1033,Conguillio,5,17,aa,62,18,73.65,60.87,18.27,15.50,81.60,65.59,19.27,16.30,217,130,35,24,122,20,20,24,199.67,121.00,32.00,23.33,1.58,0.38,40.31,54.31,16.46,0.47,2.58,2.22,237.89,1304,-38.63,-71.67,0.30,0.43,5.56,0.32,0,382.63,165.50,19.84,2.35,0.04,0.945338078
1050,Conguillio,5,18,aa,14,8,73.65,60.87,18.27,15.50,81.60,65.59,19.27,16.30,217,130,35,24,122,20,20,24,199.67,121.00,32.00,23.33,1.58,0.38,40.31,54.31,16.46,0.47,2.58,2.22,237.89,1304,-38.63,-71.67,0.30,0.43,5.56,0.32,0,382.63,165.50,19.84,2.35,0.04,0.213463437
1058,Conguillio,5,19,aa,113,24,73.65,60.87,18.27,15.50,81.60,65.59,19.27,16.30,217,130,35,24,122,20,20,24,199.67,121.00,32.00,23.33,1.58,0.38,40.31,54.31,16.46,0.47,2.58,2.22,237.89,1304,-38.63,-71.67,0.30,0.43,5.56,0.32,0,382.63,165.50,19.84,2.35,0.04,1.722954884
1059,Conguillio,5,19,aa,27,13,73.65,60.87,18.27,15.50,81.60,65.59,19.27,16.30,217,130,35,24,122,20,20,24,199.67,121.00,32.00,23.33,1.58,0.38,40.31,54.31,16.46,0.47,2.58,2.22,237.89,1304,-38.63,-71.67,0.30,0.43,5.56,0.32,0,382.63,165.50,19.84,2.35,0.04,0.411679486
1076,Conguillio,5,20,aa,44,11,73.65,60.87,18.27,15.50,81.60,65.59,19.27,16.30,217,130,35,24,122,20,20,24,199.67,121.00,32.00,23.33,1.58,0.38,40.31,54.31,16.46,0.47,2.58,2.22,237.89,1304,-38.63,-71.67,0.30,0.43,5.56,0.32,0,382.63,165.50,19.84,2.35,0.04,0.670885088
1083,Conguillio,5,21,aa,27,8,73.65,60.87,18.27,15.50,81.60,65.59,19.27,16.30,217,130,35,24,122,20,20,24,199.67,121.00,32.00,23.33,1.58,0.38,40.31,54.31,16.46,0.47,2.58,2.22,237.89,1304,-38.63,-71.67,0.30,0.43,5.56,0.32,0,382.63,165.50,19.84,2.35,0.04,0.411679486
1085,Conguillio,5,21,aa,75,17,73.65,60.87,18.27,15.50,81.60,65.59,19.27,16.30,217,130,35,24,122,20,20,24,199.67,121.00,32.00,23.33,1.58,0.38,40.31,54.31,16.46,0.47,2.58,2.22,237.89,1304,-38.63,-71.67,0.30,0.43,5.56,0.32,0,382.63,165.50,19.84,2.35,0.04,1.143554127
1093,Conguillio,5,22,aa,39,15,73.65,60.87,18.27,15.50,81.60,65.59,19.27,16.30,217,130,35,24,122,20,20,24,199.67,121.00,32.00,23.33,1.58,0.38,40.31,54.31,16.46,0.47,2.58,2.22,237.89,1304,-38.63,-71.67,0.30,0.43,5.56,0.32,0,382.63,165.50,19.84,2.35,0.04,0.594648146
1097,Conguillio,5,22,aa,68,18,73.65,60.87,18.27,15.50,81.60,65.59,19.27,16.30,217,130,35,24,122,20,20,24,199.67,121.00,32.00,23.33,1.58,0.38,40.31,54.31,16.46,0.47,2.58,2.22,237.89,1304,-38.63,-71.67,0.30,0.43,5.56,0.32,0,382.63,165.50,19.84,2.35,0.04,1.036822408
1111,Conguillio,5,23,aa,70,16,73.65,60.87,18.27,15.50,81.60,65.59,19.27,16.30,217,130,35,24,122,20,20,24,199.67,121.00,32.00,23.33,1.58,0.38,40.31,54.31,16.46,0.47,2.58,2.22,237.89,1304,-38.63,-71.67,0.30,0.43,5.56,0.32,0,382.63,165.50,19.84,2.35,0.04,1.067317185
1112,Conguillio,5,23,aa,66,22,73.65,60.87,18.27,15.50,81.60,65.59,19.27,16.30,217,130,35,24,122,20,20,24,199.67,121.00,32.00,23.33,1.58,0.38,40.31,54.31,16.46,0.47,2.58,2.22,237.89,1304,-38.63,-71.67,0.30,0.43,5.56,0.32,0,382.63,165.50,19.84,2.35,0.04,1.006327631
1119,Conguillio,5,24,aa,39,14,73.65,60.87,18.27,15.50,81.60,65.59,19.27,16.30,217,130,35,24,122,20,20,24,199.67,121.00,32.00,23.33,1.58,0.38,40.31,54.31,16.46,0.47,2.58,2.22,237.89,1304,-38.63,-71.67,0.30,0.43,5.56,0.32,0,382.63,165.50,19.84,2.35,0.04,0.594648146
1140,Conguillio,5,25,aa,57,20,73.65,60.87,18.27,15.50,81.60,65.59,19.27,16.30,217,130,35,24,122,20,20,24,199.67,121.00,32.00,23.33,1.58,0.38,40.31,54.31,16.46,0.47,2.58,2.22,237.89,1304,-38.63,-71.67,0.30,0.43,5.56,0.32,0,382.63,165.50,19.84,2.35,0.04,0.869101136
1142,Conguillio,5,25,aa,37,18,73.65,60.87,18.27,15.50,81.60,65.59,19.27,16.30,217,130,35,24,122,20,20,24,199.67,121.00,32.00,23.33,1.58,0.38,40.31,54.31,16.46,0.47,2.58,2.22,237.89,1304,-38.63,-71.67,0.30,0.43,5.56,0.32,0,382.63,165.50,19.84,2.35,0.04,0.564153369
1152,Conguillio,5,26,aa,70,13,73.65,60.87,18.27,15.50,81.60,65.59,19.27,16.30,217,130,35,24,122,20,20,24,199.67,121.00,32.00,23.33,1.58,0.38,40.31,54.31,16.46,0.47,2.58,2.22,237.89,1304,-38.63,-71.67,0.30,0.43,5.56,0.32,0,382.63,165.50,19.84,2.35,0.04,1.067317185
1162,Malalcahuello,6,1,aa,96,16,55.78,67.36,16.78,17.70,63.38,75.28,18.06,18.91,175,175,31,31,163,26.5,17,22,172.00,172.00,25.67,25.67,1.76,0.49,50.08,36.23,13.83,1.28,2.79,1.95,205.44,1360,-38.42,-71.53,0.38,0.15,4.03,0.34,0,613.59,89.38,24.27,2.50,0.03,1.275307445
1169,Malalcahuello,6,2,aa,74,19,55.78,67.36,16.78,17.70,63.38,75.28,18.06,18.91,175,175,31,31,163,26.5,17,22,172.00,172.00,25.67,25.67,1.76,0.49,50.08,36.23,13.83,1.28,2.79,1.95,205.44,1360,-38.42,-71.53,0.38,0.15,4.03,0.34,0,613.59,89.38,24.27,2.50,0.03,0.983049489
1172,Malalcahuello,6,2,aa,15,5,55.78,67.36,16.78,17.70,63.38,75.28,18.06,18.91,175,175,31,31,163,26.5,17,22,172.00,172.00,25.67,25.67,1.76,0.49,50.08,36.23,13.83,1.28,2.79,1.95,205.44,1360,-38.42,-71.53,0.38,0.15,4.03,0.34,0,613.59,89.38,24.27,2.50,0.03,0.199266788
1175,Malalcahuello,6,3,aa,166,22,55.78,67.36,16.78,17.70,63.38,75.28,18.06,18.91,175,175,31,31,163,26.5,17,22,172.00,172.00,25.67,25.67,1.76,0.49,50.08,36.23,13.83,1.28,2.79,1.95,205.44,1360,-38.42,-71.53,0.38,0.15,4.03,0.34,0,613.59,89.38,24.27,2.50,0.03,2.205219123
1185,Malalcahuello,6,5,aa,100,18,55.78,67.36,16.78,17.70,63.38,75.28,18.06,18.91,175,175,31,31,163,26.5,17,22,172.00,172.00,25.67,25.67,1.76,0.49,50.08,36.23,13.83,1.28,2.79,1.95,205.44,1360,-38.42,-71.53,0.38,0.15,4.03,0.34,0,613.59,89.38,24.27,2.50,0.03,1.328445255
1188,Malalcahuello,6,6,aa,84,19,55.78,67.36,16.78,17.70,63.38,75.28,18.06,18.91,175,175,31,31,163,26.5,17,22,172.00,172.00,25.67,25.67,1.76,0.49,50.08,36.23,13.83,1.28,2.79,1.95,205.44,1360,-38.42,-71.53,0.38,0.15,4.03,0.34,0,613.59,89.38,24.27,2.50,0.03,1.115894014
1190,Malalcahuello,6,6,aa,57,10,55.78,67.36,16.78,17.70,63.38,75.28,18.06,18.91,175,175,31,31,163,26.5,17,22,172.00,172.00,25.67,25.67,1.76,0.49,50.08,36.23,13.83,1.28,2.79,1.95,205.44,1360,-38.42,-71.53,0.38,0.15,4.03,0.34,0,613.59,89.38,24.27,2.50,0.03,0.757213795
1196,Malalcahuello,6,7,aa,48,13,55.78,67.36,16.78,17.70,63.38,75.28,18.06,18.91,175,175,31,31,163,26.5,17,22,172.00,172.00,25.67,25.67,1.76,0.49,50.08,36.23,13.83,1.28,2.79,1.95,205.44,1360,-38.42,-71.53,0.38,0.15,4.03,0.34,0,613.59,89.38,24.27,2.50,0.03,0.637653722
